id,name,country,city,zip,address,status,lat,lng,photo,marker,position,state,description,phone,email,website,category,action_serialized,store_img,stores,schedule,marker_img,show_schedule,url_key,meta_title,meta_description,meta_robots,short_description,canonical_url
14,Turner's Furniture One ,AU,Cowra ,2794,89 Brisbane Street,1,-33.836194,148.6912404,,,,New South Wales,,(02) 6341 3936,cowra@turnersfurniture.com.au,,,,,0,,,0,cowra,Turner's Furniture One ,,,,
15,Turners Furniture One ,AU,Forbes ,2871,111 Rankin Street,1,-33.3838185,148.0067731,,,,New South Wales,,(02) 6852 2300,forbes@turnersfurniture.com.au,,,,,0,,,0,forbes,Turners Furniture One ,,,,
16,eNDee Design Furniture One ,AU,Gloucester ,2422,50-52 Church Street,1,-32.006874,151.9587445,,,,New South Wales,,(02) 6558 1639,gloucesterfurnishin@bigpond.com,,,,,0,,,0,gloucester ,eNDee Design Furniture One ,,,,
17,Craig's Furniture One ,AU,Goulburn ,2580,155-161 Hume Street,1,-34.7708394,149.6945241,,,,New South Wales,,(02) 4821 4566,craigsfurnitureone@bigpond.com,,,,,0,,,0,craigs,Craig's Furniture One ,,,,
18,Mackay & Co Furniture ,AU,Griffith ,2680,2-10 Yambil Street,1,-34.290653,146.0512445,,,,New South Wales,,(02) 6964 3355,mackayf1@bigpond.net.au,,,,,0,,,0,mackay,Mackay & Co Furniture ,,,,
19,Kiama Furniture One ,AU,Kiama,2533,131 Manning Street,1,-34.6784398,150.8501925,,,,New South Wales,,(02) 4232 3230,kiamafurniture@bigpond.com,,,,,0,,,0,kiama,Kiama Furniture One ,,,,
20,Trimble's Furniture One ,AU,Macksville ,2447,Industrial Estate Binalong Way,1,-30.7271081,152.9128004,,,,New South Wales,,(02) 6568 2822 ,trimblesfurniture@gmail.com,,,,,0,,,0,trimbles,Trimble's Furniture One ,,,,
21,Orange Furniture One ,AU,Orange ,2800,70 Endsleigh Ave,1,-33.2897466,149.1046176,,,,New South Wales,,(02) 6362 1147, info@orangefurnitureone.com.au,,,,,0,,,0,orange,Orange Furniture One ,,,,
22,Parkes Furniture One ,AU,Parkes ,2870,13 Saleyards Road,1,-33.1547065,148.1633596,,,,New South Wales,,(02) 6862 2545,parkesfurnone@westnet.com.au,,,,,0,,,0,parkes,Parkes Furniture One ,,,,
23,Bells Furniture One ,AU,Port Macquarie,2444,Chestnut Road and Lake Road,1,-31.433333,152.9,,,,New South Wales,,(02) 6581 0533,bellsfurnone@bigpond.com,,,,,0,,,0,bells,Bells Furniture One ,,,,
24,Quirindi Furniture One ,AU,Quirindi ,2343,194 George Street,1,-31.507451,150.6801085,,,,New South Wales,,(02) 6746 1388,quirindifurniture@carlosiga.com.au,,,,,0,,,0,quirindi,Quirindi Furniture One ,,,,
25,Nelson Bay Carpets and Furniture One ,AU,Taylors Beach,2316,11 Shearwater Drive,1,-32.7513639,152.0692097,,,,New South Wales,,(02) 4981 9266,nelsonbaycarpetcourt@bigpond.com,,,,,0,,,0,nelsonbay,Nelson Bay Carpets and Furniture One ,,,,
26,Turner's Furniture One ,AU,Temora ,2666,150 Hoskins Street,1,-34.4457931,147.5328511,,,,New South Wales,,(02) 6977 2608,temora@turnersfurniture.com.au,,,,,0,,,0,temora,Turner's Furniture One ,,,,
27,Ulladulla Furniture One ,AU,Ulladulla ,2539,171 Princes Hwy Homemakers Centre (Behind McDonalds),1,-35.364398,150.471743,,,,New South Wales,"Mon to Fri 8:30 to 5pm
Sat 9am to 2pm
Sun Closed",(02) 4454 4860,sales@ulladullafurnitureone.com.au,,,,,0,,,0,ulladulla,Ulladulla Furniture One ,,,,
28,Nesbitt's Furniture One ,AU,Wagga Wagga,2650,Unit 3 134 Hammond Avenue,1,-35.1232558,147.3934302,,,,New South Wales,,(02) 6921 2259,nesbitts@tpg.com.au,,,,,0,,,0,nesbitts,Nesbitt's Furniture One ,,,,
29,Turner's Furniture One ,AU,Young ,2594,23 Clarke Street,1,-34.3114748,148.2928517,,,,New South Wales,,(02) 6382 1180 ,young@turnersfurniture.com.au,,,,,0,,,0,young,Turner's Furniture One ,,,,
30,Rowes Furniture One ,AU,Toowoomba ,4350,58 Russell Street,1,-27.5590793,151.9521403,,,,Queensland,,(07) 4631 8888 ,contactus@rowes.com.au,,,,,0,,,0,rowes,Rowes Furniture One ,,,,
31,Morwell Furniture One ,AU,Morwell ,3840,163 Princes Drive,1,-38.2356963,146.3953626,,,,Victoria,,(03) 5134 4344 ,morwell@totalmedia.net.au,,,,,0,,,0,morwell,Morwell Furniture One ,,,,
32,Cusacks,AU,Fyshwick ,2609,The Home Centre 11 Albany Street,1,-35.326327,149.181855,,,,Australian Capital Territory,,(02) 6280 8211 ,fyshwick@cusacks.com.au,,,,,0,,,0,fyshwick,Cusacks,,,,
33,Wollongong Furniture One,AU,Wollongong,2500,273 Crown Street,1,-34.425422,150.891699,,,,New South Wales,,02 4225 2592,wollongongf1@gmail.com,,,,,0,,,0,wollongong,Wollongong Furniture One,,,,
34,Caringbah Furniture One,AU,Caringbah,2229,Shop 1 191 Taren Point Road,1,-34.0281348,151.1196838,,,,New South Wales,,(02) 9531 8845,superliving1@bigpond.com.au,,,,,0,,,0,caringbah,Caringbah Furniture One,,,,
